cities,population
Étrechet,1160456
Étréchy,2272361
Étréchy,1237451
Étréchy,911137
Étréham,503522
Étreillers,1035180
Étréjust,1589417
Étrelles,1674070
Étrelles-et-la-Montbleuse,1643800
Étrelles-sur-Aube,1841712
Étrembières,266287
Étrépagny,2138780
Étrepigney,863601
Étrépigny,272539
Étrépilly,2548102
Étrépilly,2056825
Étrepy,2285600
Étretat,1398380
Étreux,1550045
Étreval,2791601
Étréville,235056
Étrez,1622515
Étriac,2306134
Étriché,1908316
Étricourt-Manancourt,1833433
Étrigny,2799199
Étrochey,1644023
Étrœungt,2013035
Étroussat,2094903
Étrun,1468395
Etsaut,2307546
Ettendorf,1270366
Etting,1126548
Étueffont,629271
Étupes,2279757
Éturqueraye,62500
Étusson,1244321
Étuz,95091
Etzling,1094996
Eu,495135
Euffigneix,834255
Eugénie-les-Bains,2037241
Euilly-et-Lombut,666466
Eulmont,2146149
Eup,77087
Eurre,1746373
Eurville-Bienville,329180
Eus,1298675
Euvezin,1704239
Euville,39657
Euvy,911418
Euzet,2003343
Évaillé,267053
Évans,1723055
Évaux-et-Ménil,1985527
Évaux-les-Bains,1290548
Ève,344456
Évecquemont,2600779
Évenos,1378029
Évergnicourt,2484409
Everly,910902
Évette-Salbert,121368
Éveux,1592927
Évian-les-Bains,637196
Évigny,1892503
Évillers,1126187
Évin-Malmaison,1419661
Évires,15251
Évisa,1434616
Évosges,1486185
Évran,843277
Évrange,967550
Évrecy,677648
Èvres,1172100
Évreux,1784217
Évricourt,2719526
Évriguet,2653966
Évron,1982017
Évry,155427
Évry,285822
Évry-Grégy-sur-Yerre,983010
Excenevex,2276206
Excideuil,952716
Exermont,2198422
Exideuil,2018562
Exincourt,329986
Exireuil,2421210
Exmes,588606
Exoudun,714059
Expiremont,234393
Eybens,846531
Eybouleuf,229615
Eyburie,2015694
Eycheil,234989
Eydoche,514998
Eygalayes,32253
Eygalières,283534
Eygaliers,265483
Eygliers,1591261
Eygluy-Escoulin,2749427
Eyguians,2589784
Eyguières,1287710
Eygurande,983279
Eygurande-et-Gardedeuil,2698508
Eyjeaux,885042
Eyliac,1476482
Eymet,498021
Eymeux,2272996
Eymouthiers,233158
Eymoutiers,712964
Eyne,2521591
Eynesse,1791311
Eyragues,1284582
Eyrans,2694242
Eyrein,1124559
Eyres-Moncube,436977
Eyroles,2416382
Eysines,460767
Eysson,1761012
Eysus,1321154
Eyvirat,1057867
Eywiller,222877
Eyzahut,1241148
Eyzerac,2698173
Eyzin-Pinet,2282422
Ézanville,2222587
Èze,1223563
Ézy-sur-Eure,300978
Fa,2370285
Fabas,1148447
Fabas,2233426
Fabas,1045180
Fabras,349771
Fabrègues,549717
Fabrezan,1618652
Faches-Thumesnil,2432575
Fâchin,2399378
Faget-Abbatial,2595616
Fagnières,747836
Fagnon,1633661
Fahy-lès-Autrey,2299076
Failly,770992
Faimbe,1137918
Fain-lès-Montbard,2170334
Fain-lès-Moutiers,1837316
Fains,2559611
Fains-la-Folie,2163012
Fains-Véel,650662
Faissault,1212053
Fajac-en-Val,2523460
Fajac-la-Relenque,2542599
Fajoles,243701
Fajolles,2350231
Falaise,2325482
Falaise,490006
Falck,118198
Faleyras,2281666
Falga,1116530
Falicon,417038
Falkwiller,848918
Fallencourt,2525904
Fallerans,1421676
Falleron,2397223
Falletans,1460726
Fallon,800201
Fals,1073116
Falvy,1591671
Famars,2794601
Famechon,2275609
Famechon,363531
Fameck,853197
Familly,1314513
Fampoux,2619207
Fanjeaux,2506716
Fanlac,1617609
Faramans,352228
Faramans,466580
Farbus,1650194
Farceaux,1084757
Farébersviller,2439505
Fareins,194387
Faremoutiers,281007
Farges,2329337
Farges-Allichamps,1981595
Farges-en-Septaine,2453378
Farges-lès-Chalon,647884
Farges-lès-Mâcon,1459005
Fargues,1005041
Fargues,1437314
Fargues,411589
Fargues-Saint-Hilaire,1134208
Fargues-sur-Ourbise,2075602
Farincourt,1243715
Farinole,718145
Farnay,411160
Farschviller,1846627
Fatines,339199
Fatouville-Grestain,16741
Fau-de-Peyre,1229727
Fauch,2284486
Faucigny,389934
Faucogney-et-la-Mer,1225009
Faucompierre,2506220
Faucon,749658
Faucon-de-Barcelonnette,2134117
Faucon-du-Caire,1111689
Fauconcourt,1447461
Faucoucourt,469115
Faudoas,1820143
Faugères,1680520
Faugères,613385
Fauguernon,59802
Fauguerolles,1992712
Fauillet,148545
Faulquemont,2022799
Faulx,1023465
Faumont,989899
Fauquembergues,1636885
Faurilles,2249976
Fauroux,1473812
Faussergues,1403195
Fauverney,923396
Fauville,2628379
Fauville-en-Caux,2568553
Faux-Fresnay,2328481
Faux-la-Montagne,1865983
Faux-Mazuras,1170813
Faux-Vésigneul,2130903
Faux-Villecerf,633650
Favalello,2018402
Favars,1482334
Faveraye-Mâchelles,302565
Faverdines,2120237
Faverelles,2528038
Faverges,322131
Faverges-de-la-Tour,2618049
Faverney,629506
Faverois,1280091
Faverolles,1475764
Faverolles,1567863
Faverolles,1343117
Faverolles,407557
Faverolles,386320
Faverolles,409256
Faverolles,1097921
Faverolles-et-Coëmy,1827725
Faverolles-la-Campagne,2352021
Faverolles-lès-Lucey,1434303
Faverolles-sur-Cher,2047916
Favières,1507839
Favières,2438994
Favières,742409
Favières,2395574
Favresse,938801
Favreuil,2060730
Favrieux,2326087
Fay,135698
Fay,593290
Fay,940457
Fay-aux-Loges,846189
Fay-de-Bretagne,1512448
Fay-en-Montagne,1712942
Fay-le-Clos,678217
Fay-les-Étangs,2152594
Fay-lès-Marcilly,67826
Faÿ-lès-Nemours,2366957
Fay-sur-Lignon,2689826
Faycelles,1020032
Faye,1549069
Faye-d'Anjou,731535
Faye-l'Abbesse,164260
Faye-la-Vineuse,1454244
Faye-sur-Ardin,2746729
Fayence,225021
Fayet,1486733
Fayet,915183
Fayet-le-Château,449630
Fayet-Ronaye,1214767
Fayl-Billot,986787
Faymont,236977
Faymoreau,1533724
Fays,377027
Fays,2502511
Fays-la-Chapelle,2033768
Fayssac,1865033
Féas,2097642
Febvin-Palfart,2436121
Fécamp,1105538
Féchain,1435329
Fêche-l'Église,1496188
Fécocourt,1141408
Fédry,2109936
Fegersheim,1400547
Fégréac,1728156
Feigères,616127
Feigneux,1498941
Feignies,764035
Feillens,2074833
Feings,1256639
Feings,331972
Feins,1266815
Feins-en-Gâtinais,324807
Feissons-sur-Isère,2012649
Feissons-sur-Salins,1809565
Fel,467615
Felce,2738846
Feldbach,1413985
Feldkirch,8546
Feliceto,1426912
Félines,1136357
Félines,647972
Félines-Minervois,1836252
Félines-sur-Rimandoule,2413494
Félines-Termenès,91156
Felleries,1869876
Fellering,1626684
Felletin,1442130
Felluns,970240
Felon,1525702
Felzins,1819008
Fenain,238199
Fénay,388925
Fendeille,2390174
Fénery,273118
Fénétrange,1747897
Feneu,1940782
Féneyrols,536388
Féniers,425077
Fenioux,2585336
Fenioux,2624337
Fenneviller,1217197
Fénols,2359796
Fenouillet,2784493
Fenouillet,2515663
Fenouillet-du-Razès,539933
Fépin,1422296
Fercé,2514181
Fercé-sur-Sarthe,2408841
Ferdrupt,2156981
Fère-Champenoise,1490581
Fère-en-Tardenois,2524680
Fèrebrianges,2036850
Férel,2751714
Ferfay,1072580
Féricy,2478094
Férin,1574076
Fermanville,3709
Ferney-Voltaire,1321905
Fernoël,2180381
Férolles,752541
Férolles-Attilly,2527009
Féron,515529
Ferques,1507118
Ferrals-les-Corbières,1642216
Ferrals-les-Montagnes,1714394
Ferran,2633902
Ferrassières,341272
Ferrensac,2523148
Ferrère,1344424
Ferrette,1165899
Ferreux-Quincey,1728689
Ferrière-et-Lafolie,439280
Ferrière-la-Grande,2077091
Ferrière-la-Petite,1960652
Ferrière-Larçon,2228367
Ferrière-sur-Beaulieu,2471783
Ferrières,1068054
Ferrières,377979
Ferrières,107791
Ferrières,2246084
Ferrières,277666
Ferrières,2204833
Ferrières,2535585
Ferrières-en-Bray,542978
Ferrières-en-Brie,1147880
Ferrières-en-Gâtinais,806237
Ferrières-Haut-Clocher,2715280
Ferrières-la-Verrerie,2235399
Ferrières-le-Lac,780183
Ferrières-les-Bois,726800
Ferrières-lès-Ray,214454
Ferrières-lès-Scey,1078332
Ferrières-les-Verreries,320019
Ferrières-Poussarou,859512
Ferrières-Saint-Hilaire,1718536
Ferrières-Saint-Mary,1767281
Ferrières-sur-Ariège,2025489
Ferrières-sur-Sichon,1961029
Ferrussac,1679917
Fertans,1059115
Fertrève,726147
Fervaches,67482
Fervaques,2074112
Fescamps,2597462
Fesches-le-Châtel,2444382
Fesmy-le-Sart,1561588
Fesques,1251980
Fessanvilliers-Mattanvilliers,1787242
Fessenheim,1965775
Fessenheim-le-Bas,1065230
Fessevillers,831804
Fessy,2536427
Festalemps,2321727
Festes-et-Saint-André,401271
Festieux,2792124
Festigny,2008774
Festigny,1516430
Festubert,2189451
Féternes,1468549
Fétigny,1294341
Feucherolles,256375
Feuchy,766280
Feugarolles,32451
Feugères,2793934
Feuges,1154959
Feuguerolles,1332613
Feuguerolles-Bully,1638279
Feuilla,1963979
Feuillade,1204081
Feuillères,264406
Feule,2406056
Feuquières,2341783
Feuquières-en-Vimeu,698518
Feurs,2010280
Feusines,1510378
Feux,2704087
Fèves,468998
Féy,243275
Fey-en-Haye,1929095
Feyt,230139
Feytiat,1274677
Feyzin,5379
Fiac,339194
Ficaja,134197
Ficheux,1914951
Fichous-Riumayou,2461508
Fieffes-Montrelet,1745707
Fiefs,1632624
Fiennes,2145114
Fienvillers,1131344
Fierville-Bray,2417212
Fierville-les-Mines,1109666
Fierville-les-Parcs,106642
Fieulaine,2005529
Fieux,1793704
Figanières,1760873
Figari,2790861
Figarol,398917
Figeac,2362004
Fignévelle,2131993
Fignières,2150846
Filain,2232667
Filain,1651308
Fillé,1852865
Fillières,752609
Fillièvres,1682665
Fillinges,2743397
Fillols,716345
Filstroff,158383
Fiménil,1656329
Finestret,1870008
Finhan,1865327
Fins,2285247
Fiquefleur-Équainville,968445
Firbeix,865719
Firfol,2652475
Firmi,532256
Firminy,1746649
Fislis,2442624
Fismes,1034174
Fitilieu,2182467
Fitou,1983012
Fitz-James,1326976
Fix-Saint-Geneys,689712
Fixem,872970
Fixin,874256
Flacey,668168
Flacey,348210
Flacey-en-Bresse,801527
Flachères,1767288
Flacourt,1953576
Flacy,1672169
Flagey,1728909
Flagey,2135935
Flagey-Echézeaux,1927559
Flagey-lès-Auxonne,2528755
Flagey-Rigney,1183124
Flagnac,1718401
Flagy,1842195
Flagy,403438
Flagy,2388164
Flaignes-Havys,62177
Flainval,2646340
Flamanville,214366
Flamanville,1925974
Flamarens,83976
Flamets-Frétils,2706473
Flammerans,728818
Flammerécourt,2002038
Flancourt-Catelon,2146142
Flangebouche,1585306
Flassan,17189
Flassans-sur-Issole,403070
Flassigny,1523835
Flastroff,2214127
Flat,2103895
Flaucourt,1550708
Flaugeac,1641911
Flaugnac,2292106
Flaujac-Gare,1741392
Flaujac-Poujols,2134488
Flaujagues,1037168
Flaumont-Waudrechies,2578235
Flaux,367556
Flavacourt,1259714
Flaviac,2086010
Flavignac,2170456
Flavignerot,366624
Flavigny,772903
Flavigny,1893661
Flavigny-le-Grand-et-Beaurain,2503652
Flavigny-sur-Moselle,1787671
Flavigny-sur-Ozerain,1148353
Flavin,2541654
Flavy-le-Martel,1686739
Flavy-le-Meldeux,1816737
Flaxieu,410771
Flaxlanden,1446679
Flayat,2584209
Flayosc,2180038
Fléac,1706657
Fléac-sur-Seugne,1812874
Fléchin,202606
Fléchy,2124748
Flée,283173
Flée,1842851
Fleigneux,2507033
Fleisheim,1201765
Fleix,866183
Fléré-la-Rivière,1738102
Flers,923196
Flers,647435
Flers,697076
Flers-en-Escrebieux,1066744
Flers-sur-Noye,40254
Flesquières,2073312
Flesselles,249789
Flétrange,338412
Flêtre,331781
Fléty,2178407
Fleurac,958841
Fleurac,316721
Fleurance,2444084
Fleurat,109220
Fleurbaix,258488
Fleuré,1803480
Fleuré,2709967
Fleurey,437726
Fleurey-lès-Faverney,2057340
Fleurey-lès-Lavoncourt,1692347
Fleurey-lès-Saint-Loup,540620
Fleurey-sur-Ouche,1231651
Fleurie,2251135
Fleuriel,2394067
Fleurieu-sur-Saône,198493
Fleurieux-sur-l'Arbresle,1311292
Fleurigné,477751
Fleurines,112517
Fleurville,1205856
Fleury,1248588
Fleury,744733
Fleury,1205127
Fleury,796911
Fleury,1171203
Fleury,2002122
Fleury,351696
Fleury-devant-Douaumont,2585554
Fleury-en-Bière,346594
Fleury-la-Forêt,2008190
Fleury-la-Montagne,1398926
Fleury-la-Rivière,936818
Fleury-la-Vallée,448213
Fleury-les-Aubrais,513493
Fleury-Mérogis,4689
Fleury-sur-Andelle,658024
Fleury-sur-Loire,2528669
Fleury-sur-Orne,1425763
Fléville,958517
Fléville-devant-Nancy,280405
Fléville-Lixières,1627383
Flévy,696881
Flexanville,238727
Flexbourg,887736
Fley,141739
Fleys,2395510
Flez-Cuzy,2139638
Fligny,1322484
Flin,1999682
Flines-lès-Mortagne,426953
Flines-lez-Raches,720582
Flins-Neuve-Église,1861829
Flins-sur-Seine,1458073
Flipou,2625058
Flirey,412471
Flixecourt,533054
Flize,702206
Flocourt,2321011
Flocques,151756
Flogny-la-Chapelle,2308128
Floing,1775670
Floirac,952596
Floirac,22013
Floirac,1792179
Florac,974360
Florange,2186057
Florémont,2650319
Florensac,18442
Florent-en-Argonne,1170908
Florentia,1931171
Florentin,577383
Florentin-la-Capelle,1619262
Floressas,100106
Florimont,560966
Florimont-Gaumier,2160838
Floringhem,2166632
Flottemanville,2080661
Flottemanville-Hague,508059
Floudès,1206856
Floure,2276431
Flourens,459825
Floursies,1386439
Floyon,41547
Flumet,756247
Fluquières,304406
Fluy,2228465
Foameix-Ornel,843457
Foce,1639611
Focicchia,1866911
Foëcy,198348
Foisches,1054685
Foissac,789641
Foissac,739452
Foissiat,1215128
Foissy,593145
Foissy-lès-Vézelay,2253230
Foissy-sur-Vanne,71465
Foix,1070675
Folcarde,1594952
Folembray,204045
Folgensbourg,1159784
Folies,1409481
Folkling,1267543
Follainville-Dennemont,1217015
Folles,1457003
Folleville,2537331
Folleville,1162620
Folligny,2317894
Folschviller,518770
Fomerey,973928
Fomperron,1505981
Fonbeauzard,946112
Foncegrive,1278069
Fonches-Fonchette,134712
Foncine-le-Bas,950688
Foncine-le-Haut,1414048
Foncquevillers,2457937
Fondamente,2350560
Fondettes,1118954
Fondremand,36557
Fongrave,1364373
Fongueusemare,2201576
Fonroque,707302
Fons,197110
Fons,698904
Fons,2778897
Fons-sur-Lussan,2173888
Fonsommes,192651
Fonsorbes,2218484
Font-Romeu-Odeillo-Via,2471017
Fontain,692155
Fontaine,423680
Fontaine,90905
Fontaine,736475
Fontaine-au-Bois,2359777
Fontaine-au-Pire,1648588
Fontaine-Bellenger,1267107
Fontaine-Bonneleau,1085588
Fontaine-Chaalis,1813126
Fontaine-Chalendray,2187670
Fontaine-Couverte,2746249
Fontaine-de-Vaucluse,712440
Fontaine-Denis-Nuisy,1327814
Fontaine-en-Bray,2109371
Fontaine-en-Dormois,1674402
Fontaine-Étoupefour,2220881
Fontaine-Fourches,2071122
Fontaine-Française,1169606
Fontaine-Guérin,1047238
Fontaine-Henry,2366165
Fontaine-Heudebourg,1215048
Fontaine-l'Abbé,2431962
Fontaine-l'Étalon,2622490
Fontaine-la-Gaillarde,1588362
Fontaine-la-Guyon,1502071
Fontaine-la-Louvet,1853787
Fontaine-la-Mallet,1620216
Fontaine-la-Rivière,2212000
Fontaine-la-Soret,1646419
Fontaine-Lavaganne,2439925
Fontaine-le-Bourg,2200367
Fontaine-le-Comte,415736
Fontaine-le-Dun,2195710
Fontaine-le-Pin,418932
Fontaine-le-Port,2683774
Fontaine-le-Puits,1767041
Fontaine-le-Sec,1073213
Fontaine-les-Bassets,1069249
Fontaine-lès-Boulans,1996972
Fontaine-lès-Cappy,1583207
Fontaine-lès-Clercs,722074
Fontaine-lès-Clerval,404273
Fontaine-les-Coteaux,1148536
Fontaine-lès-Croisilles,858329
Fontaine-lès-Dijon,2331522
Fontaine-les-Grès,2160016
Fontaine-lès-Hermans,2134016
Fontaine-lès-Luxeuil,2355173
Fontaine-les-Ribouts,242665
Fontaine-lès-Vervins,1322518
Fontaine-Mâcon,196160
Fontaine-Milon,1797942
Fontaine-Notre-Dame,2680903
Fontaine-Notre-Dame,977625
Fontaine-Raoul,2005227
Fontaine-Saint-Lucien,2497298
Fontaine-Simon,1926811
Fontaine-sous-Jouy,2695905
Fontaine-sous-Montdidier,434449
Fontaine-sous-Préaux,1709500
Fontaine-sur-Ay,569282
Fontaine-sur-Maye,997023
Fontaine-sur-Somme,2049561
Fontaine-Uterte,1540641
Fontainebleau,1546050
Fontainebrux,1523008
Fontaines,399760
Fontaines,2735984
Fontaines,1892964
Fontaines-d'Ozillac,2308709
Fontaines-en-Duesmois,452251
Fontaines-en-Sologne,1982576
Fontaines-les-Sèches,2323363
Fontaines-Saint-Clair,1565143
Fontaines-Saint-Martin,1391603
Fontaines-sur-Marne,1979821
Fontaines-sur-Saône,107152
Fontains,493767
Fontan,688370
Fontanes,2021886
Fontanes,636734
Fontanès,732055
Fontanès,375517
Fontanès,1195659
Fontanès-de-Sault,2147199
Fontanes-du-Causse,906459
Fontanges,2310546
Fontangy,448007
Fontanières,2062583
Fontanil-Cornillon,93271
Fontannes,976813
Fontans,2349890
Fontarèches,2407547
Fontclaireau,1684955
Fontcouverte,1504751
Fontcouverte,2111778
Fontcouverte-la Toussuire,2725916
Fontenai-les-Louvets,2516119
Fontenai-sur-Orne,2384582
Fontenailles,101906
Fontenailles,426208
Fontenay,117004
Fontenay,1885671
Fontenay,2626739
Fontenay,673860
Fontenay,1974857
Fontenay,525194
Fontenay-aux-Roses,1958202
Fontenay-de-Bossery,2266464
Fontenay-en-Parisis,1455278
Fontenay-le-Comte,507296
Fontenay-le-Fleury,2564219
Fontenay-le-Marmion,785695
Fontenay-le-Pesnel,1557304
Fontenay-le-Vicomte,1061850
Fontenay-lès-Briis,1305092
Fontenay-Mauvoisin,68006
Fontenay-près-Chablis,2055115
Fontenay-près-Vézelay,2552042
Fontenay-Saint-Père,1759566
Fontenay-sous-Bois,1922320
Fontenay-sous-Fouronnes,2424258
Fontenay-sur-Conie,792057
Fontenay-sur-Eure,2057981
Fontenay-sur-Loing,1814358
Fontenay-sur-Mer,2719825
Fontenay-sur-Vègre,2101310
Fontenay-Torcy,1626742
Fontenay-Trésigny,720348
Fontenelle,1221076
Fontenelle,1037857
Fontenelle,2415224
Fontenelle-en-Brie,2055094
Fontenelle-Montby,1248110
Fontenermont,1770387
Fontenet,2028427
Fontenille,1076352
Fontenille-Saint-Martin-d'Entraigues,2639203
Fontenilles,2073952
Fontenois-la-Ville,1755979
Fontenois-lès-Montbozon,2057296
Fontenotte,499248
Fontenouilles,1078905
Fontenoy,1581299
Fontenoy,57864
Fontenoy-la-Joûte,280467
Fontenoy-le-Château,2449455
Fontenoy-sur-Moselle,311774
Fontenu,112127
Fonteny,469795
Fonters-du-Razès,1185953
Fontès,580421
Fontet,1833580
Fontette,1089047
Fontevraud-l'Abbaye,683440
Fontgombault,1852161
Fontguenand,2434871
Fontienne,1268135
Fontiers-Cabardès,597976
Fontiès-d'Aude,1847892
Fontjoncouse,2796732
Fontoy,1916078
Fontpédrouse,1400929
Fontrabiouse,1845985
Fontrailles,2463803
Fontvannes,123997
Fontvieille,782016
Forbach,2464181
Forcalqueiret,1527326
Forcalquier,858736
Forcé,2368269
Forcelles-Saint-Gorgon,2506885
Forcelles-sous-Gugney,2433801
Forceville,2764897
Forceville-en-Vimeu,189459
Forcey,453196
Forciolo,2579177
Forest-en-Cambrésis,1503049
Forest-l'Abbaye,313948
Forest-Montiers,2759888
Forest-Saint-Julien,1468855
Forest-sur-Marque,2055001
Foreste,331684
Forêt-la-Folie,848
Forfry,2225116
Forges,1801740
Forges,1268999
Forges,2460574
Forges,1034852
Forgès,1854526
Forges-la-Forêt,2076925
Forges-les-Bains,2477855
Forges-les-Eaux,1019991
Forges-sur-Meuse,2689866
Forgues,339129
Forléans,2282652
Formentin,2409032
Formerie,622017
Formigny,2470955
Formiguères,1401633
Fornex,1255284
Fors,193580
Forstfeld,808360
Forstheim,1955734
Fort-du-Plasne,2406177
Fort-Louis,182216
Fort-Mahon-Plage,2535154
Fort-Mardyck,2120256
Fort-Moville,1620159
Fortan,224527
Fortel-en-Artois,2542665
Fortschwihr,238154
Fos,1721647
Fos,1335524
Fos-sur-Mer,1218195
Fosse,2213024
Fossé,706199
Fossé,1014082
Fossemagne,1195500
Fossemanant,715316
Fosses,478249
Fossès-et-Baleyssac,2529154
Fosseuse,2415012
Fosseux,680324
Fossieux,2772939
Fossoy,1996092
Foucarmont,2335840
Foucart,1919797
Foucarville,2554642
Foucaucourt-en-Santerre,2651665
Foucaucourt-Hors-Nesle,995162
Foucaucourt-sur-Thabas,2100313
Fouchécourt,1409376
Fouchécourt,453605
Foucherans,183766
Foucherans,846528
Fouchères,945643
Fouchères,99407
Fouchères-aux-Bois,721234
Foucherolles,1000367
Fouchy,622155
Foucrainville,887731
Fouday,1859241
Fouencamps,1597793
Fouesnant,1259247
Foufflin-Ricametz,1597108
Foug,2003518
Fougaron,577969
Fougax-et-Barrineuf,226755
Fougeré,2653726
Fougeré,166053
Fougères,1612757
Fougères-sur-Bièvre,1830314
Fougerolles,2652996
Fougerolles,2588716
Fougerolles-du-Plessis,1879674
Fougueyrolles,1053546
Fouilleuse,1968097
Fouillouse,626688
Fouilloy,431513
Fouilloy,1214665
Fouju,720875
Foulain,2202559
Foulangues,2689064
Foulayronnes,2361155
Foulbec,2334356
Foulcrey,353036
Fouleix,1826659
Foulenay,1436515
Fouligny,1319119
Foulognes,616912
Fouquebrune,2443147
Fouquenies,589890
Fouquereuil,2090796
Fouquerolles,1051769
Fouquescourt,1658308
Fouqueure,1240449
Fouqueville,2555105
Fouquières-lès-Béthune,1631789
Fouquières-lès-Lens,498218
Four,1316166
Fouras,67614
Fourbanne,1383291
Fourcatier-et-Maison-Neuve,2103720
Fourcès,1284415
Fourchambault,1146476
Fourches,2335955
Fourcigny,914104
Fourdrain,1390302
Fourdrinoy,1707558
Fourg,59579
Fourges,2419046
Fourilles,853600
Fourmagnac,739574
Fourmetot,273307
Fourmies,2248091
Fournaudin,2363356
Fourneaux,2135666
Fourneaux,22205
Fourneaux,1672215
Fourneaux-le-Val,1655381
Fournels,1268198
Fournès,2080461
Fournes-Cabardès,2064575
Fournes-en-Weppes,1857131
Fournet-Blancheroche,428197
Fournets-Luisans,2777763
Fourneville,1836888
Fournival,1461279
Fournols,2136897
Fournoulès,2668934
Fouronnes,1087771
Fourques,2108876
Fourques,1080791
Fourques-sur-Garonne,954903
Fourqueux,1220832
Fourquevaux,2443049
Fours,344445
Fours,495138
Fours-en-Vexin,1525782
Fourtou,435546
Foussais-Payré,302712
Foussemagne,841779
Foussignac,2350767
Fouvent-Saint-Andoche,379576
Fouzilhon,2181214
Foville,1178477
Fox-Amphoux,1110009
Fozières,381802
Fozzano,2662848
Fragnes,1062300
Frahier-et-Chatebier,2698560
Fraignot-et-Vesvrotte,330759
Fraillicourt,2264022
Fraimbois,468518
Frain,439025
Frais,1745487
Fraisans,243395
Fraisnes-en-Saintois,916278
Fraisse,2393994
Fraisse-Cabardès,1201327
Fraissé-des-Corbières,2271665
Fraisse-sur-Agout,2409098
Fraisses,1336722
Fraissines,2110432
Fraissinet-de-Fourques,1726271
Fraissinet-de-Lozère,2723307
Fraize,742491
Fralignes,65058
Frambouhans,623495
Framecourt,366709
Framerville-Rainecourt,1634518
Framicourt,1145492
Framont,897246
Frampas,1443297
Francalmont,455759
Francaltroff,2034489
Francarville,561320
Francastel,1367900
Françay,2057739
Francazal,925126
Francescas,1223577
Francheleins,2094161
Franchesse,553219
Francheval,1365219
Franchevelle,2624284
Francheville,66654
Francheville,2607823
Francheville,1297811
Francheville,1485226
Francheville,1959609
Francheville,232799
Francheville,1281926
Francières,1458754
Francières,198627
Francillon,1839529
Francillon-sur-Roubion,2526698
Francilly-Selency,2451075
Francin,2403621
Franclens,176064
François,1388873
Francon,2624704
Franconville,1161782
Franconville,1564224
Francoulès,88306
Francourt,2465202
Francourville,2710649
Francs,258002
Francueil,847047
Franey,1786882
Frangy,255707
Frangy-en-Bresse,544130
Franken,2079938
Franleu,1520586
Franois,780530
Franquevielle,503791
Franqueville,1638030
Franqueville,1990233
Franqueville,2072748
Franqueville-Saint-Pierre,2302974
Frans,1724378
Fransart,2431225
Fransèches,1631984
Fransu,2753854
Fransures,138232
Franvillers,1303739
Franxault,2725350
Frapelle,1717315
Fraquelfing,1240666
Fraroz,1371951
Frasnay-Reugny,1767417
Frasne,2585956
Frasne-le-Château,223628
Frasne-les-Meulières,418208
Frasnoy,1550599
Frasseto,482718
Frauenberg,164403
Frausseilles,803642
Fravaux,2010423
Frayssinet,385047
Frayssinet-le-Gélat,100086
Frayssinhes,320435
Frazé,1872919
Fréauville,1486506
Frebécourt,694181
Frébuans,2668837
Fréchède,1036635
Fréchencourt,1496484
Fréchendets,153007
Fréchet-Aure,1530089
Fréchou,1816676
Fréchou-Fréchet,2438700
Frécourt,1299642
Frédéric-Fontaine,1758328
Frédille,81815
Frégimont,701021
Frégouville,355294
Fréhel,106011
Freigné,852707
Freissinières,1113863
Freistroff,1689517
Freix-Anglards,875992
Fréjairolles,513941
Fréjeville,840969
Fréjus,1648783
Fréland,1837524
Frelinghien,93664
Frémainville,2123314
Frémécourt,1101685
Fréménil,599931
Frémeréville-sous-les-Côtes,2462129
Frémery,2102340
Frémestroff,1828169
Frémicourt,619541
Fremifontaine,783318
Frémontiers,2597016
Frémonville,1620200
Frencq,21688
Frenelle-la-Grande,1409248
Frenelle-la-Petite,2594453
Frênes,1353656
Freneuse,2222431
Freneuse,1725562
Freneuse-sur-Risle,624916
Freney,1312565
Fréniches,1292236
Frénois,331923
Frénois,585113
Frénouville,2635950
Frépillon,1868286
Fresles,108956
Fresnay,2490113
Fresnay-en-Retz,2212515
Fresnay-l'Évêque,729243
Fresnay-le-Comte,905114
Fresnay-le-Gilmert,1082623
Fresnay-le-Long,559699
Fresnay-le-Samson,872681
Fresnay-sur-Sarthe,1379771
Fresne-Cauverville,1655214
Fresne-l'Archevêque,2627908
Fresné-la-Mère,1024640
Fresne-le-Plan,1198113
Fresne-Léguillon,994033
Fresne-lès-Reims,2636761
Fresne-Saint-Mamès,980239
Fresneaux-Montchevreuil,1177483
Fresnes,399721
Fresnes,1048337
Fresnes,1603543
Fresnes,321237
Fresnes,664891
Fresnes-au-Mont,119247
Fresnes-en-Saulnois,1215187
Fresnes-en-Tardenois,1635252
Fresnes-en-Woëvre,1914418
Fresnes-lès-Montauban,937681
Fresnes-Mazancourt,1508188
Fresnes-sur-Apance,1672368
Fresnes-sur-Escaut,784869
Fresnes-sur-Marne,72284
Fresnes-Tilloloy,1808379
Fresneville,940225
Fresney,567040
Fresney-le-Puceux,1571419
Fresney-le-Vieux,1992307
Fresnicourt-le-Dolmen,2025286
Fresnières,288385
Fresnois-la-Montagne,852251
Fresnoy,2771210
Fresnoy-Andainville,316693
Fresnoy-au-Val,814291
Fresnoy-en-Chaussée,765217
Fresnoy-en-Gohelle,1004265
Fresnoy-en-Thelle,1764649
Fresnoy-Folny,2488028
Fresnoy-la-Rivière,2181860
Fresnoy-le-Château,2523536
Fresnoy-le-Grand,1379836
Fresnoy-le-Luat,1675490
Fresnoy-lès-Roye,2673724
Frespech,2154944
Fresquiennes,1680685
Fressac,567867
Fressain,2787573
Fressancourt,1683895
Fresse,949311
Fresse-sur-Moselle,1253807
